sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_affordable_is_produce_in_your_neighborhood?,lat,lon
"""6448406714122240""","""6137739230576640""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-18 21:26:22.066000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0209575,125.5057468
"""6449318452002816""","""6179838836604928""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 21:53:21.423000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0527531,125.5508926
"""6450676357922816""","""6406411527389184""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-02-19 00:49:26.434000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,affordable,10.7969804,122.6009289
"""6452091843248128""","""6617876838481920""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-05 16:08:22.945000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,very_affordable,7.2031844,124.228984
"""6452166757711872""","""6099418669383680""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-01-16 22:10:21.510000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,very_affordable,7.0777808,125.6044968
"""6452325851856896""","""5983619560505344""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-05 17:02:22.681000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,unaffordable,7.130615,125.619849
"""6452964342366208""","""5041728383877120""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-19 02:15:22.424000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0210867,125.497165
"""6453359180513280""","""5749255081820160""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-03-14 01:29:19.692000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,affordable,8.0952287,123.4899675
"""6453438068031488""","""6106070156050432""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-01-16 23:15:21.332000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,7.3786831,124.2653816
"""6453496716984320""","""6713059173203968""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-02-14 00:14:28.890000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,affordable,6.9239035,122.0736479
"""6453898938155008""","""6006200204263424""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-01-17 02:58:23.140000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,7.0572282,125.5930128
"""6454094492336128""","""5130015362514944""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-03-13 16:14:29.554000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,6.8930019,126.0076432
"""6455228062760960""","""6025306668269568""","""4587820012273664""","""4580107475746816""","""5897368358617088""",2019-01-19 03:30:24.337000+00:00,"""6512267501764608""",ls_tl-ph_food-security-2,affordable,8.2366907,124.2444985
"""6456102512230400""","""5045137107320832""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 20:04:22.193000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.1184472,125.5991574
"""6456165284184064""","""6220380471558144""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-05 16:30:22.061000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,6.7608432,125.3550259
"""6456601630212096""","""6406096386260992""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-01-09 05:00:24.043000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.0868777,125.6303863
"""6456793142132736""","""6017852601532416""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-01-17 09:36:18.403000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,unaffordable,9.0326231,125.5229796
"""6457194012737536""","""6624067236921344""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-02-13 19:15:22.684000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.1397163,125.5878526
"""6457979067957248""","""6233819503919104""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-19 00:44:24.378000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0700568,125.6002987
"""6458111256690688""","""5164187300921344""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-02-13 17:24:19.253000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,7.2205996,124.5655549
"""6458605295370240""","""4661142737649664""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-05 21:18:18.806000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.1441453,125.6216002
"""6458750976131072""","""6233819503919104""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-01-17 01:47:23.360000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,7.0614715,125.5920646
"""6459195403534336""","""5548109690044416""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-19 13:02:20.902000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0887543,125.5260362
